yr,PricesPerBushel,PricePerTon,Deflator2010,Deflator2016,Deflator2018,r.P.Ton.b2010,r.P.Ton.b2016,r.P.Ton.b2018
2002,2.78,102.1476732,0.840125842,0.763256497,0.734858925,121.5861578,133.8313838,139.0031062
2003,3.56,130.8078117,0.856883112,0.77848052,0.748504026,152.6553737,168.0296531,174.7589956
2004,3.4,124.928809,0.880441327,0.799883219,0.768658882,141.893395,156.1838103,162.5282839
2005,3.4,124.928809,0.908774417,0.825623905,0.79260354,137.4695486,151.3144281,157.6182829
2006,3.42,125.6636843,0.936695322,0.850990118,0.816584464,134.1564129,147.6676187,153.8893892
2007,4.26,156.5284489,0.961621857,0.87363594,0.838525422,162.7754691,179.1689669,186.6710831
2008,6.48,238.0996124,0.980483768,0.890772035,0.854836077,242.8389129,267.2957872,278.5324797
2009,6.78,249.1227426,0.987931357,0.897538189,0.8613549,252.1660445,277.562276,289.2219487
2010,4.87,178.9421469,1,0.908502582,0.871391528,178.9421469,196.9638287,205.3521765
2011,5.7,209.4394738,1,0.927253762,0.889588018,178.9421469,225.8707188,235.4342343
2012,7.24,266.0248755,1,0.944342328,0.906651193,178.9421469,281.7038565,293.4147967
2013,7.77,285.4990722,1,0.959586649,0.922562922,178.9421469,297.5229726,309.4629814
2014,6.87,252.4296816,1,0.976809061,0.939635164,178.9421469,258.4227477,268.6464826
2015,5.99,220.0951664,1,0.987403713,0.948574744,178.9421469,222.9029154,232.0272258
2016,4.89,179.6770223,1,1,0.958529774,178.9421469,179.6770223,187.4506427
2017,3.89,142.9332549,1,1,0.976554,178.9421469,179.6770223,146.364927
2018,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2019,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2020,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2021,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2022,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2023,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2024,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2025,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2026,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2027,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2028,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2029,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2030,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2031,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2032,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2033,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2034,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2035,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2036,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2037,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2038,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2039,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2040,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2041,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2042,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2043,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2044,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2045,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2046,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2047,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2048,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2049,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
2050,4.72,173.4305818,1,1,1,178.9421469,179.6770223,173.4305818
