Year,WheatType,State,Acre1000,YieldBu,Prod1000Bu,StemPer,LeafPer,StripePer
1925,All wheat,Minnesota,2232,13.4,29798,11,0,0
1925,All wheat,Missouri,2711,12.1,32693,0,0,0
1925,All wheat,Montana,3249,10.8,34998,0,0,0
1925,All wheat,Nebraska,2711,12.1,32693,0,0,0
1925,All wheat,North Dakota,9204,12.3,113531,5,0,0
1925,All wheat,Ohio,1599,15,24025,0.1,0.1,0
1925,All wheat,Oklahoma,2711,12.1,32693,0,0,0
1925,All wheat,Pennsylvania,1106,19.5,21563,0.2,0.3,0
1925,All wheat,South Dakota,2701,11.8,31918,7.5,0,0
1925,All wheat,Texas,962,6.5,6253,1,0.5,0
1925,All wheat,Virginia,569,14.2,8080,0.3,0,0
1925,All wheat,Washington,1957,17.5,34310,0,0,0
1925,All wheat,West Virginia,109,13.5,1472,0,0,0
1925,All wheat,Wisconsin,113,18.4,2074,3.5,1,0
1925,All wheat,Wyoming,178,13.4,2392,0,0,0
1926,All wheat,Colorado,1685,12.4,20890,0,0,0
1926,All wheat,Illinois,2263,19,43047,1,1,0
1926,All wheat,Indiana,1764,20.5,36147,0.5,5,0
1926,All wheat,Iowa,387,21.2,8222,1,6,0
1926,All wheat,Kansas,10409,14.8,153991,0,0,0
1926,All wheat,Michigan,898,18.5,16598,3.5,2,0
1926,All wheat,Minnesota,1872,12.6,23589,5,0,0
1926,All wheat,Missouri,1408,16,22528,0,0,0
1926,All wheat,Montana,3590,12.5,44773,0.1,0,0
1926,All wheat,Nebraska,3146,13.1,41290,0,0,0
1926,All wheat,North Dakota,9083,8.6,77733,1.75,0,0
1926,All wheat,Ohio,1730,22.5,38937,0.5,0,0
1926,All wheat,Oklahoma,4332,17,73644,0.75,0,0
1926,All wheat,Pennsylvania,1131,19.5,22048,0.1,0.5,0
1926,All wheat,South Dakota,2306,6,13894,1.2,0,0
1926,All wheat,Texas,2117,18.2,38529,0.75,1,0
1926,All wheat,Virginia,620,16.5,10230,0.1,0,0
1926,All wheat,Washington,1988,19.1,38035,0,0,0
1926,All wheat,West Virginia,235,15,3522,0,0,0
1926,All wheat,Wisconsin,122,18.5,2259,3,1,0
1926,All wheat,Wyoming,235,15,3522,0,0,0
1927,All wheat,Colorado,1668,13.4,22299,0,0,0
1927,All wheat,Illinois,2458,13.9,34091,0.8,2.5,0
1927,All wheat,Indiana,1872,15.5,29020,0,13,0
1927,All wheat,Iowa,432,18.1,8180,0.6,15,0
1927,All wheat,Kansas,10202,11.2,114216,0.05,8,0
1927,All wheat,Michigan,801,21.5,17201,1,1,0
1927,All wheat,Minnesota,1786,11.7,20976,30,3,0
1927,All wheat,Missouri,1562,10,15628,0,0,0
1927,All wheat,Montana,4020,20.3,81713,0.1,0,0
1927,All wheat,Nebraska,3733,19.3,72188,0.1,2,0
1927,All wheat,North Dakota,10336,12.9,133537,10,2,0
1927,All wheat,Ohio,1579,18,28422,0,0.5,0
1927,All wheat,Oklahoma,3812,9.2,35070,0,0,0
1927,All wheat,Pennsylvania,1023,17.5,17886,0.5,6,0
1927,All wheat,South Dakota,3189,14.9,47589,10.2,3,0
1927,All wheat,Texas,2180,9.7,21146,0.5,3,0
1927,All wheat,Virginia,620,13,8060,0.1,1.5,0
1927,All wheat,Washington,2137,24.6,52660,0,0,0
1927,All wheat,West Virginia,112,13,1456,1,1,0
1927,All wheat,Wisconsin,134,20.1,2696,1.5,0,0
1927,All wheat,Wyoming,285,15.9,4530,0,0,0
1928,All wheat,Colorado,1481,14,20797,0,0,0
1928,All wheat,Illinois,1462,15.9,23264,0,0.8,0
1928,All wheat,Indiana,961,10.5,10129,0,1,0
1928,All wheat,Iowa,463,18.8,8709,0,3,0
1928,All wheat,Kansas,10639,16.3,173185,0,4,0
1928,All wheat,Michigan,785,16.5,12959,0,1.5,0
1928,All wheat,Minnesota,1544,14,21634,2,0.5,0
1928,All wheat,Missouri,1521,13,19745,0,0,0
1928,All wheat,Montana,4395,18,79146,0.1,1,0
1928,All wheat,Nebraska,3757,18,67446,0,0,0
1928,All wheat,North Dakota,10832,14.4,155482,0.5,0,0
1928,All wheat,Ohio,856,11.7,9984,0.25,0.5,0
1928,All wheat,Oklahoma,4612,14,64582,0,0,0
1928,All wheat,Pennsylvania,1002,14.5,14524,0,4.5,0
1928,All wheat,South Dakota,3648,10.4,37895,0,0,0
1928,All wheat,Texas,2393,10.8,25844,1,0.5,0
1928,All wheat,Virginia,608,14.5,8816,0.5,3,0
1928,All wheat,Washington,2223,21.4,47674,0,0,0
1928,All wheat,West Virginia,101,13.5,1346,0,0,0
1928,All wheat,Wisconsin,97,18.6,1800,0.5,0,0
1928,All wheat,Wyoming,342,14.8,5063,2,0,0
1929,All wheat,Colorado,1539,11.6,17900,0,0,0
1929,All wheat,Illinois,2093,14.7,30831,0.5,0.5,0
1929,All wheat,Indiana,1568,16.5,25916,0.5,4,0
1929,All wheat,Iowa,426,18.8,8000,0.3,8,0
1929,All wheat,Kansas,12550,12.4,155563,1,3,0
1929,All wheat,Michigan,790,17.4,13760,0,1,0
1929,All wheat,Minnesota,1434,14.9,21406,15,0.5,0
1929,All wheat,Missouri,1534,9.9,15250,0,1,0
1929,All wheat,Montana,4419,9.3,41290,0,0,0
1929,All wheat,Nebraska,3700,15,55403,0,0,0
1929,All wheat,North Dakota,10440,9.6,99950,1,0,0
1929,All wheat,Ohio,1564,19.5,30503,1.5,0.5,0
1929,All wheat,Oklahoma,4576,11.2,51251,0,0,0
1929,All wheat,Pennsylvania,987,17.7,17473,0.5,15,0
1929,All wheat,South Dakota,3583,9.7,34799,3,0,0
1929,All wheat,Texas,3042,14.8,45022,0.5,0.5,0
1929,All wheat,Virginia,657,13.1,8607,0.5,3,0
1929,All wheat,Washington,2375,18.6,44199,0,0,0
1929,All wheat,West Virginia,104,13.1,1362,0,0,0
1929,All wheat,Wisconsin,96,19.4,1866,4.5,1.5,0
1929,All wheat,Wyoming,341,12.9,4394,0,0,0
1930,All wheat,Colorado,1659,13.3,22034,0,0,0
1930,All wheat,Illinois,2025,18.2,36891,0,1.5,0
1930,All wheat,Indiana,1587,18,28584,0,0,0
1930,All wheat,Iowa,435,20.5,8919,0,0,0
1930,All wheat,Kansas,13132,14.2,186277,1.5,3,0
1930,All wheat,Michigan,724,22,16575,1,0,0
1930,All wheat,Minnesota,1368,17.1,23456,3.7,0,0
1930,All wheat,Missouri,1336,14.5,19342,0,0.5,0
1930,All wheat,Montana,4217,8.4,35313,0,0.1,0
1930,All wheat,Nebraska,3974,18.8,74848,1,0.5,0
1930,All wheat,North Dakota,9896,10.8,107328,1.5,0,0
1930,All wheat,Ohio,1661,17.5,29095,0.5,0.5,0
1930,All wheat,Oklahoma,3935,9.5,37382,0,0,0
1930,All wheat,Pennsylvania,997,22,21923,0,0,0
1930,All wheat,South Dakota,3682,11.6,42871,3,0,0
1930,All wheat,Texas,3457,11.1,38373,1,0.1,0
1930,All wheat,Virginia,591,15.5,9160,0.5,2,0
1930,All wheat,Washington,2338,16.1,37548,0,0,0
1930,All wheat,West Virginia,121,17.5,2118,0,0,0
1930,All wheat,Wisconsin,99,20.8,2063,0.7,0.1,0
1930,All wheat,Wyoming,326,11.7,3808,0,0,0
1931,All wheat,Colorado,1420,11.7,16613,0,0,0
1931,All wheat,Illinois,1420,11.7,16613,0,0,0
1931,All wheat,Indiana,1729,25.9,44802,0.5,12,0
1931,All wheat,Iowa,357,20.5,7321,0,0,0
1931,All wheat,Kansas,13623,18.5,251885,0.8,2,0
1931,All wheat,Michigan,734,25.8,18965,0,0.1,0
1931,All wheat,Minnesota,1207,14.7,17776,1,0,0
1931,All wheat,Missouri,1596,20,31913,0,0.2,0
1931,All wheat,Montana,2182,6.6,14478,0,0,0
1931,All wheat,Nebraska,3420,16.6,56943,0,0,0
1931,All wheat,North Dakota,6295,6.5,41042,0,0,0
1931,All wheat,Ohio,1861,28.9,53825,2,1.5,0
1931,All wheat,Oklahoma,4407,17,74919,0,5,0
1931,All wheat,Pennsylvania,930,22,20447,0,20,0
1931,All wheat,South Dakota,2943,6,17610,0,0,0
1931,All wheat,Texas,4386,15.5,67983,2,1,0
1931,All wheat,Virginia,609,22,13398,1,5,0
1931,All wheat,Washington,2315,18,41699,0,0,0
1931,All wheat,West Virginia,131,19,2489,0,5,0
1931,All wheat,Wisconsin,88,17.4,1532,0,0.1,0
1931,All wheat,Wyoming,217,9.4,2032,0,0,0
1932,All wheat,Colorado,704,10.2,7172,0,0,0
1932,All wheat,Illinois,1669,15.6,25983,0,10,0
1932,All wheat,Indiana,1470,16.5,24231,0,10,0
1932,All wheat,Iowa,273,15.9,4350,0,0.2,0
1932,All wheat,Kansas,10365,11.6,120178,0.5,1.5,0
1932,All wheat,Michigan,734,23.8,17484,0.3,0.5,0
1932,All wheat,Minnesota,1441,14.3,20558,1.5,1,0
1932,All wheat,Missouri,1404,11.5,16143,0,0,0
1932,All wheat,Montana,4021,13.6,54593,0,0.1,0
1932,All wheat,Nebraska,2265,12.3,27838,0.8,0,0
1932,All wheat,North Dakota,10639,10.4,110396,2,0,0
1932,All wheat,Ohio,1748,20,34911,0,0.5,0
1932,All wheat,Oklahoma,3966,12,47592,0,2,0
1932,All wheat,Pennsylvania,929,15,13929,0,25,0
1932,All wheat,South Dakota,3854,13.5,51839,0,0,0
1932,All wheat,Texas,3509,8.5,29826,2,1,0
1932,All wheat,Virginia,585,10.8,6318,1,4,0
1932,All wheat,Washington,2308,18.6,42868,0,0,0
1932,All wheat,West Virginia,122,11.5,1403,10,0,0
1932,All wheat,Wisconsin,110,19.2,2109,0,0.1,0
1932,All wheat,Wyoming,255,11.2,2862,0,0,0
1933,All wheat,Colorado,583,10.1,5881,0,0,0
1933,All wheat,Illinois,1874,16.4,30746,0,5,0
1933,All wheat,Indiana,1577,15,23641,0,5,0
1933,All wheat,Iowa,251,17.1,4303,0,0,0
1933,All wheat,Kansas,7361,9.1,66931,0,0,0
1933,All wheat,Michigan,885,16.4,14528,0,0,0
1933,All wheat,Minnesota,1588,10.2,16266,0,0,0
1933,All wheat,Missouri,1362,12.5,17019,0,0.4,0
1933,All wheat,Montana,3512,7.6,26810,0,0,0
1933,All wheat,Nebraska,2388,12.1,28814,0,0,0
1933,All wheat,North Dakota,10098,7.1,71314,0,0,0
1933,All wheat,Ohio,2089,18,37586,0,0.5,0
1933,All wheat,Oklahoma,3093,10.2,31549,0,0,0
1933,All wheat,Pennsylvania,937,18,16833,0,9,0
1933,All wheat,South Dakota,1150,4.3,4904,0,0,0
1933,All wheat,Texas,2105,7.1,14146,2,2,0
1933,All wheat,Virginia,567,13.5,7654,1,4.5,0
1933,All wheat,Washington,2163,20.2,43638,0,0,0
1933,All wheat,West Virginia,131,14.5,1900,0,5,0
1933,All wheat,Wisconsin,104,15.5,1616,0,0,0
1933,All wheat,Wyoming,219,9.3,2046,0,0,0
1934,All wheat,Colorado,704,8.8,6192,0,0,0
1934,All wheat,Illinois,2080,17.6,36522,0,2,0
1934,All wheat,Indiana,1845,17.3,31891,0,0,0
1934,All wheat,Iowa,298,12.2,3632,0,0,0
1934,All wheat,Kansas,8610,9.8,84323,0,0,0
1934,All wheat,Michigan,855,14.2,12126,0,0,0
1934,All wheat,Minnesota,1224,10.7,13104,5,0,0
1934,All wheat,Missouri,1643,15.1,24776,0,0,0
1934,All wheat,Montana,2481,11.1,27624,0,0,0
1934,All wheat,Nebraska,2251,7.8,17543,0,0,0
1934,All wheat,North Dakota,3340,6.1,20908,2,0,0
1934,All wheat,Ohio,3543,10.5,37202,0,0.5,0
1934,All wheat,Oklahoma,3543,10.5,37202,0,0,0
1934,All wheat,Pennsylvania,946,16.4,15499,0,10,0
1934,All wheat,South Dakota,158,4.6,732,0,0,0
1934,All wheat,Texas,3094,8.5,26299,1,5,0
1934,All wheat,Virginia,605,13.1,7926,0,0,0
1934,All wheat,Washington,1934,19.2,37158,0,0,0
1934,All wheat,West Virginia,145,12.8,1856,0,5,0
1934,All wheat,Wisconsin,104,14.2,1475,0,0,0
1934,All wheat,Wyoming,106,9.9,1050,0,0,0
1935,All wheat,Colorado,553,12.5,6940,6,0,0
1935,All wheat,Illinois,2074,14.5,30060,1,12.5,0
1935,All wheat,Indiana,1906,15.5,29534,0,15,0
1935,All wheat,Iowa,401,15.8,6318,6.5,10,0
1935,All wheat,Kansas,6888,9.3,64055,12,5,0
1935,All wheat,Michigan,874,21.9,19108,0.5,0,0
1935,All wheat,Minnesota,1774,10.6,18716,51.6,5,0
1935,All wheat,Missouri,2145,12.5,26795,4,5,0
1935,All wheat,Montana,3434,9.9,34157,0.6,0,0
1935,All wheat,Nebraska,3045,12.6,38512,15,0,0
1935,All wheat,North Dakota,7823,7,54714,56.5,0,0
1935,All wheat,Ohio,2131,22,46872,1.5,1.5,0
1935,All wheat,Oklahoma,3366,10,33660,0,0,0
1935,All wheat,Pennsylvania,1004,21,21045,0,12,0
1935,All wheat,South Dakota,3153,8.1,25540,29,5,0
1935,All wheat,Texas,1639,7,11473,10,2,0
1935,All wheat,Virginia,629,13.5,8492,3,3.5,0
1935,All wheat,Washington,2006,22.5,45194,0,0,0
1935,All wheat,West Virginia,154,16.5,2541,0,0.5,0
1935,All wheat,Wisconsin,139,16.2,2254,1.5,15,0
1935,All wheat,Wyoming,186,10.8,2017,10,0,0
1936,All wheat,Colorado,853,12.7,10811,1,0,0
1936,All wheat,Illinois,2080,17.5,36400,0,0.5,0
1936,All wheat,Indiana,1775,17.5,31042,0,0,0
1936,All wheat,Iowa,407,20.7,8407,0.5,1,0
1936,All wheat,Kansas,10458,11.5,120234,0.5,0.2,0
1936,All wheat,Michigan,821,20.3,16705,0,0.1,0
1936,All wheat,Minnesota,1760,9.9,17348,0,0,0
1936,All wheat,Missouri,2175,15,32619,0,0,0
1936,All wheat,Montana,2239,5.3,11866,0,0,0
1936,All wheat,Nebraska,3325,14.2,47281,0,0,0
1936,All wheat,North Dakota,3699,5.2,19235,0,0,0
1936,All wheat,Ohio,2175,18.5,40240,0,0.1,0
1936,All wheat,Oklahoma,3534,8,28272,0,1.5,0
1936,All wheat,Pennsylvania,1033,19,19615,1.5,13,0
1936,All wheat,South Dakota,826,5.1,4177,0,0,0
1936,All wheat,Texas,2458,7.7,18927,0,2,0
1936,All wheat,Virginia,629,12.5,7862,2,2.5,0
1936,All wheat,Washington,2180,21.5,46968,0,0,0
1936,All wheat,West Virginia,157,13.5,2120,1,0.5,0
1936,All wheat,Wisconsin,106,13.9,1469,0,5,0
1936,All wheat,Wyoming,128,10,1277,0,0,0
1937,All wheat,Colorado,1102,13.6,14990,0,0,0
1937,All wheat,Illinois,2575,17.4,44922,11,5,0
1937,All wheat,Indiana,2129,16,34046,12,10,0
1937,All wheat,Iowa,817,17.9,14649,19,6,0
1937,All wheat,Kansas,13172,12,158052,6.6,0.4,0
1937,All wheat,Michigan,1009,18.5,18647,2.5,5,0
1937,All wheat,Minnesota,2115,16.6,35066,10,1,0
1937,All wheat,Missouri,3264,13.3,43409,30,0,0
1937,All wheat,Montana,2624,7.8,20401,0,0,0
1937,All wheat,Nebraska,3567,13.2,47031,6,0,0
1937,All wheat,North Dakota,6725,8.2,54984,25,5,0
1937,All wheat,Ohio,2430,19,46116,2,5,0
1937,All wheat,Oklahoma,4736,14.2,67251,1,1,0
1937,All wheat,Pennsylvania,1063,22,23353,3,12,0
1937,All wheat,South Dakota,2747,5.6,15498,12,2,0
1937,All wheat,Texas,3933,10.6,41690,0,1,0
1937,All wheat,Virginia,648,15,9720,2,0.5,0
1937,All wheat,Washington,2344,21.2,49698,0,0,0
1937,All wheat,West Virginia,155,16,2480,2,0,0
1937,All wheat,Wisconsin,131,15.6,2043,19.8,2,0
1937,All wheat,Wyoming,202,11.5,2324,0,0,0
1938,All wheat,Colorado,1273,15.1,19166,0.4,2,0
1938,All wheat,Illinois,2212,18.5,40908,1.7,15,0
1938,All wheat,Indiana,1769,16,28286,0,3,0
1938,All wheat,Iowa,583,15.9,9284,1,28,0
1938,All wheat,Kansas,14494,10.5,152163,3,12,0
1938,All wheat,Michigan,910,21.4,19488,1,0.1,0
1938,All wheat,Minnesota,2554,14.9,38017,0,8,0
1938,All wheat,Missouri,2499,13,32487,5,20,0
1938,All wheat,Montana,4249,15.3,64837,5,0,0
1938,All wheat,Nebraska,4691,11.8,55570,5,20,0
1938,All wheat,North Dakota,8082,9,72719,6,2,0
1938,All wheat,Ohio,2379,19.5,46384,0,2.5,0
1938,All wheat,Oklahoma,5607,11.2,61677,0,27,0
1938,All wheat,Pennsylvania,1019,21,21381,2.5,10,0
1938,All wheat,South Dakota,3095,9.1,28227,3.4,0,0
1938,All wheat,Texas,3894,9,35046,0.6,5,0
1938,All wheat,Virginia,590,14,8260,5,5,0
1938,All wheat,Washington,2257,24,54118,0.3,0.1,0
1938,All wheat,West Virginia,135,15,2025,1,0,0
1938,All wheat,Wisconsin,120,16.7,2007,7.8,0,0
1938,All wheat,Wyoming,257,13.3,3428,0,0.5,0
1939,All wheat,Colorado,1060,11.4,12064,0,0,0
1939,All wheat,Illinois,1948,20.4,39804,0,10,0
1939,All wheat,Indiana,1512,17.5,26445,0,5,0
1939,All wheat,Iowa,392,17.7,6930,0,3,0
1939,All wheat,Kansas,9574,12,114858,0.2,1.5,0
1939,All wheat,Michigan,747,21.5,16036,0,0.1,0
1939,All wheat,Minnesota,1548,13.6,21016,0,2,0
1939,All wheat,Missouri,1918,16.7,32031,0,0,0
1939,All wheat,Montana,3401,13.6,46112,0,0,0
1939,All wheat,Nebraska,3186,11.1,35242,0,0,0
1939,All wheat,North Dakota,7236,10.5,75753,0,0,0
1939,All wheat,Ohio,1904,20,38080,0,0.5,0
1939,All wheat,Oklahoma,4277,14.1,60306,0,5,0
1939,All wheat,Pennsylvania,893,20.5,18292,0,10,0
1939,All wheat,South Dakota,2170,8.4,18158,0,0,0
1939,All wheat,Texas,2819,10.3,29036,0,1,0
1939,All wheat,Virginia,513,14.7,7541,2,2,0
1939,All wheat,Washington,1993,22.4,44731,0,0,0
1939,All wheat,West Virginia,124,14.5,1798,1,0,0
1939,All wheat,Wisconsin,88,14,1232,0,1.9,0
1939,All wheat,Wyoming,195,11.1,2159,0,0,0
1940,All wheat,Colorado,1028,12,12354,0,0,0
1940,All wheat,Illinois,1745,22.5,39285,5,10,0
1940,All wheat,Indiana,1433,19.5,27934,5,0,0
1940,All wheat,Iowa,312,24.8,7733,2,0,0
1940,All wheat,Kansas,8739,14.5,126533,7,0,0
1940,All wheat,Michigan,779,23.5,18290,1,0,0
1940,All wheat,Minnesota,1588,19.8,31406,0,0,0
1940,All wheat,Missouri,1713,19,32547,3,0,0
1940,All wheat,Montana,3917,13.2,51676,2.5,0,0
1940,All wheat,Nebraska,2643,13.1,34725,1.3,0,0
