Year,Country,State,DataItem,LeafRust,SeptoriaTriticiBlotch,StripeRust,StemRust,FusariumHeadBlight,WheatBlast
2019,United States,Illinois,% Yield Supp.,0.01,0.4,0.1,0,1,0
2019,United States,Indiana,% Yield Supp.,0.01,0.2,0.2,0,4,0
2019,United States,Kansas,% Yield Supp.,3,0.7,4.6,0,2.1,0
2019,United States,Kentucky,% Yield Supp.,0,0.2,0.03,0,0.8,0
2019,United States,Louisiana,% Yield Supp.,0.1,0.05,0.1,0.05,5,0
2019,United States,Michigan,% Yield Supp.,0.5,2,0.05,0.001,4,0
2019,United States,Minnesota,% Yield Supp.,0.5,1,0.05,,10,0
2019,United States,Mississippi,% Yield Supp.,0.0001,0.001,0.000000001,0,0.001,0
2019,United States,Missouri,% Yield Supp.,0,0.25,0,0,1.25,0
2019,United States,Montana,% Yield Supp.,0,0.0005,0,0,1,0
2019,United States,Nebraska,% Yield Supp.,1,0.15,0.5,0,2,0
2019,United States,New York,% Yield Supp.,0.1,0.25,0,0,0.5,0
2019,United States,North Carolina,% Yield Supp.,1,0,0.5,0,2,0
2019,United States,North Dakota,% Yield Supp.,0.0005,0,0,0,4,0
2019,United States,Ohio,% Yield Supp.,2,5,0.01,0,4,0
2019,United States,Oklahoma,% Yield Supp.,8,0.6,4,0,0.01,0
2019,United States,Oregon,% Yield Supp.,,,,,,
2019,United States,Pennsylvania,% Yield Supp.,0.05,0.01,0.01,0,7,0
2019,United States,South Dakota,% Yield Supp.,0.02,0.01,0,0,4.5,0
2019,United States,Tennessee,% Yield Supp.,0.001,0.5,0.001,0,0.01,0
2019,United States,Texas,% Yield Supp.,20,0,0.5,0,0,0
2019,United States,Virginia,% Yield Supp.,0.01,0.01,0,0,1,0
2019,United States,Washington,% Yield Supp.,,,,,,
2019,United States,Wisconsin,% Yield Supp.,0.25,0.5,0.1,0,6,0
2018,United States,Alabama,% Yield Supp.,1,3,0,0,7,0
2018,United States,Arkansas,% Yield Supp.,0,0.005,0,0,0.05,0
2018,United States,Colorado,% Yield Supp.,0,0,2,0,0,0
2018,United States,DELMAR,% Yield Supp.,0,0.001,0.01,0,2,0
2018,United States,Georgia,% Yield Supp.,0.5,0,0,0,0.1,0
2018,United States,Idaho,% Yield Supp.,0.01,0.001,3,,1.5,
2018,United States,Illinois,% Yield Supp.,0.01,0.5,0.05,0,0.05,0
2018,United States,Indiana,% Yield Supp.,0.000001,0.0001,0,0,0.0001,0
2018,United States,Kansas,% Yield Supp.,0.22,0.001,0.03,0,0,0
2018,United States,Kentucky,% Yield Supp.,0,0.5,0.05,0,0.8,0
2018,United States,Louisiana,% Yield Supp.,0.00001,0,0.00001,0,0.00001,0
2018,United States,Michigan,% Yield Supp.,0.5,1,0.5,0,3,0
2018,United States,Minnesota,% Yield Supp.,0.25,1,0.25,0,3,0
2018,United States,Mississippi,% Yield Supp.,0.001,0.001,0.000000001,0,0.2,0
2018,United States,Missouri,% Yield Supp.,0,0,0,0,0.0001,0
2018,United States,Montana,% Yield Supp.,0,0.01,0.01,0,0.01,0
2018,United States,Nebraska,% Yield Supp.,0.15,0.0005,0,0,0.0001,0
2018,United States,New York,% Yield Supp.,0.01,0.25,0,0,1,0
2018,United States,North Carolina,% Yield Supp.,1,0,0.1,0,2,0
2018,United States,North Dakota,% Yield Supp.,0.025,0.025,0,0,3,0
2018,United States,Ohio,% Yield Supp.,3,4,0.01,0,2,0
2018,United States,Oklahoma,% Yield Supp.,1,0,0.75,0,0,0
2018,United States,Oregon,% Yield Supp.,,,,,,
2018,United States,Pennsylvania,% Yield Supp.,0.05,0.01,0.01,0,12,0
2018,United States,South Dakota,% Yield Supp.,0.05,0.01,0,0,5,0
2018,United States,Tennessee,% Yield Supp.,0.001,0.5,0.0001,0,0.001,0
2018,United States,Texas,% Yield Supp.,,,,,,
2018,United States,Virginia,% Yield Supp.,0.1,0.1,0.5,0,5,0
2018,United States,Washington,% Yield Supp.,,,,,,
2018,United States,Wisconsin,% Yield Supp.,0.1,0.5,0,0,5,0
